所属区域,小区名称,价格,房屋面积,户型
"精选          /
海淀-万寿路-万寿路1号院
/
        37.14㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （5层）",整租·万寿路1号院 1室1厅 南,6190 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-定慧寺-恩济里小区
/
        89.00㎡
        /南        /
          3室1厅1卫        
/
          高楼层                        （15层）",整租·恩济里小区 3室1厅 南,12000 元/月,,"官方核验
近地铁
精装
集中供暖"
"海淀-知春路-太阳园
/
        137.80㎡
        /南        /
          3室1厅2卫        
/
          低楼层                        （26层）",整租·太阳园 3室1厅 南,19000 元/月,,"官方核验
新上
近地铁
精装
集中供暖
双卫生间"
"海淀-知春路-碧兴园
/
        101.66㎡
        /东南        /
          2室1厅1卫        
/
          中楼层                        （28层）",整租·碧兴园 2室1厅 东南,13500 元/月,,"官方核验
新上
近地铁
集中供暖
随时看房"
"海淀-知春路-太月园
/
        125.10㎡
        /西南        /
          3室1厅1卫        
/
          低楼层                        （26层）",整租·太月园 3室1厅 西南,14000 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-望京-首开知语城
/
        81.79㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （13层）",整租·首开知语城 2室1厅 南,9860 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"大兴-大兴其它-居善园
/
        80.60㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （18层）",整租·居善园 2室1厅 南,2700 元/月,,"官方核验
集中供暖"
"大兴-大兴其它-居善园
/
        125.00㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （21层）",整租·居善园 3室1厅 南/北,3800 元/月,,"官方核验
新上
精装"
"昌平-天通苑-天通苑四区
/
        85.73㎡
        /东 西        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·天通苑四区 2室1厅 东/西,5200 元/月,,"官方核验
集中供暖
随时看房"
"精选          /
海淀-小西天-五月华庭
/
        38.20㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （12层）",整租·五月华庭 1室1厅 北,6130 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"精选          /
西城-[木樨地]-白云观
/
        55.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·白云观 2室1厅 南,7960 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"门头沟-门头沟其它-石泉砖厂B4区
/
        68.00㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （9层）",整租·石泉砖厂B4区 2室1厅 南,3000 元/月,,"官方核验
集中供暖
随时看房"
"房山-良乡-首创紫悦台
/
        24.88㎡
        /北        /
          2房间1卫        
/
          中楼层                        （17层）",整租·首创紫悦台 2房间 北,2700 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-西坝河-西坝河东里
/
        43.87㎡
        /西南        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·西坝河东里 1室1厅 西南,6860 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-亚运村-慧忠北里第三社区
/
        72.00㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （25层）",整租·慧忠北里第三社区 1室1厅 西,7760 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-知春路-罗庄南里
/
        61.40㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·罗庄南里 2室1厅 南,8560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
亦庄开发区-亦庄-博客雅居
/
        59.00㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （24层）",整租·博客雅居 1室1厅 东,5430 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-万寿路-万寿路1号院
/
        37.14㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （5层）",整租·万寿路1号院 1室1厅 南,6190 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"门头沟-上岸地铁-远洋新天地
/
        64.00㎡
        /西        /
          3房间1卫        
/
          低楼层                        （18层）",整租·远洋新天地 3房间 西,4600 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
朝阳-望京-首开知语城
/
        81.79㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （13层）",整租·首开知语城 2室1厅 南,9860 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
通州-潞苑-珠江拉维小镇
/
        58.66㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （9层）",整租·珠江拉维小镇 1室1厅 东,4260 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-东直门-新源西里东街
/
        52.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·新源西里东街 2室1厅 南,6800 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
丰台-看丹桥-新华街三里
/
        61.50㎡
        /北        /
          2室1厅1卫        
/
          中楼层                        （24层）",整租·新华街三里 2室1厅 北,6030 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-甘露园-都市经典家园
/
        68.74㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （26层）",整租·都市经典家园 1室1厅 西,6790 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-惠新西街-惠新苑
/
        126.00㎡
        /北        /
          2室1厅2卫        
/
          高楼层                        （15层）",整租·惠新苑 2室1厅 北,13330 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
双卫生间
随时看房"
"顺义-顺义其它-旭辉26街区
/
        60.00㎡
        /东        /
          3房间2卫        
/
          低楼层                        （1层）",整租·旭辉26街区 3房间 东,4300 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"通州-通州其它-首开国风美仑
/
        89.12㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （16层）",整租·首开国风美仑 3室1厅 南/北,5000 元/月,,"官方核验
精装
集中供暖
随时看房"
"丰台-科技园区-首开花香四季
/
        57.00㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （29层）",整租·首开花香四季 1室1厅 东,5000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"西城-牛街-凯迪尚府
/
        49.30㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （14层）",整租·凯迪尚府 1室1厅 北,7300 元/月,,"官方核验
近地铁
精装"
"朝阳-东大桥-尚都国际中心
/
        184.55㎡
        /东南        /
          1室0厅0卫        
/
          低楼层                        （33层）",整租·尚都国际中心 1室0厅 东南,25261 元/月,,"官方核验
精装
集中供暖
随时看房"
"通州-北关-西潞苑小区
/
        37.00㎡
        /南        /
          1室0厅1卫        
/
          低楼层                        （6层）",整租·西潞苑小区 1室0厅 南,2600 元/月,,"官方核验
集中供暖
随时看房"
"海淀-皂君庙-皂君东里
/
        61.10㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·皂君东里 2室1厅 南/北,8500 元/月,,"官方核验
精装
集中供暖"
"精选          /
通州-武夷花园-加华印象街
/
        90.47㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （11层）",整租·加华印象街 2室1厅 南,4930 元/月,,"公寓
精装
押一付一
随时看房"
"海淀-田村-西木小区
/
        54.30㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·西木小区 2室1厅 南/北,6500 元/月,,"官方核验
近地铁
精装
集中供暖"
"昌平-回龙观-融泽嘉园中路1号院
/
        98.00㎡
        /东 南 北        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·融泽嘉园中路1号院 2室1厅 东/南/北,7500 元/月,,"官方核验
精装
集中供暖"
"通州-九棵树(家乐福)-蓝调沙龙东区
/
        54.00㎡
        /南        /
          1室0厅1卫        
/
          高楼层                        （5层）",整租·蓝调沙龙东区 1室0厅 南,3800 元/月,,"官方核验
近地铁
精装"
"精选          /
朝阳-四惠-东恒时代一期
/
        63.31㎡
        /北        /
          2室1厅1卫        
/
          低楼层                        （30层）",整租·东恒时代一期 2室1厅 北,8090 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"顺义-顺义其它-炫立方
/
        45.64㎡
        /西        /
          2房间1卫        
/
          中楼层                        （12层）",整租·炫立方 2房间 西,3200 元/月,,"官方核验
集中供暖"
"朝阳-双桥-双桥嘉园
/
        66.25㎡
        /西南        /
          2室1厅1卫        
/
          高楼层                        （23层）",整租·双桥嘉园 2室1厅 西南,4000 元/月,,"官方核验
精装
集中供暖
随时看房"
"海淀-苏州桥-苏州街77号院
/
        53.10㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·苏州街77号院 2室1厅 南/北,8000 元/月,,"官方核验
精装
集中供暖"
"精选          /
朝阳-北苑-旭辉奥都
/
        88.49㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （27层）",整租·旭辉奥都 2室1厅 南,7890 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
昌平-立水桥-中东路58号院
/
        80.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （20层）",整租·中东路58号院 3室1厅 南/北,6500 元/月,,"公寓
月租
近地铁
精装
集中供暖
押一付一
随时看房"
"东城-前门-前门东大街
/
        69.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （10层）",整租·前门东大街 3室1厅 南/北,11000 元/月,,"官方核验
业主自荐
近地铁
集中供暖"
"朝阳-朝阳公园-瞰都国际
/
        47.00㎡
        /西北        /
          1室0厅1卫        
/
          中楼层                        （27层）",整租·瞰都国际 1室0厅 西北,7400 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-高碑店-兴隆家园
/
        97.10㎡
        /西南        /
          2室1厅1卫        
/
          中楼层                        （23层）",整租·兴隆家园 2室1厅 西南,8200 元/月,,"官方核验
业主自荐
集中供暖
随时看房"
"精选          /
朝阳-中央别墅区-康营家园四期A区
/
        92.31㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·康营家园四期A区 2室1厅 南,5400 元/月,,"公寓
月租
精装
集中供暖"
"海淀-中关村-东南小区
/
        59.70㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·东南小区 2室1厅 南,8900 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
随时看房"
"顺义-后沙峪-中粮祥云国际生活区
/
        176.00㎡
        /南 北        /
          3室2厅2卫        
/
          高楼层                        （14层）",整租·中粮祥云国际生活区 3室2厅 南/北,23000 元/月,,"官方核验
精装
双卫生间"
"丰台-方庄-紫芳园一区
/
        52.38㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （25层）",整租·紫芳园一区 1室1厅 东,5400 元/月,,"官方核验
业主自荐
精装
集中供暖"
"精选          /
朝阳-朝青-大悦城公寓
/
        88.42㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （28层）",整租·大悦城公寓 1室1厅 北,11500 元/月,,"公寓
近地铁
精装
集中供暖
随时看房"
"精选          /
朝阳-朝青-大悦城公寓
/
        112.97㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （28层）",整租·大悦城公寓 1室1厅 南,14500 元/月,,"公寓
近地铁
精装
随时看房"
"精选          /
东城-东直门-东直门北大街
/
        53.61㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （14层）",整租·东直门北大街 1室1厅 东,7590 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-厂洼-西三环北路19号院
/
        53.70㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·西三环北路19号院 2室1厅 东,8830 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"大兴-高米店-郁花园三里
/
        91.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （16层）",整租·郁花园三里 2室1厅 南/北,5600 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-望京-花家地小区
/
        73.93㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·花家地小区 3室1厅 南/北,10000 元/月,,"官方核验
集中供暖"
"朝阳-方庄-10AM新坐标
/
        30.00㎡
        /西        /
          1室0厅1卫        
/
          低楼层                        （29层）",整租·10AM新坐标 1室0厅 西,4800 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"海淀-双榆树-双榆树北里
/
        70.00㎡
        /南 西北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·双榆树北里 3室1厅 南/西北,9500 元/月,,"官方核验
月租
近地铁
集中供暖"
"朝阳-常营-北京像素北区
/
        56.91㎡
        /西南 东北        /
          3房间2卫        
/
          高楼层                        （14层）",整租·北京像素北区 3房间 复式 西南/东北,12000 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
双卫生间"
"顺义-顺义其它-路劲御和府
/
        82.94㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （11层）",整租·路劲御和府 3室1厅 南/北,4000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"丰台-木樨园-慧时欣园二期
/
        141.00㎡
        /西北 东北        /
          3室1厅2卫        
/
          高楼层                        （24层）",整租·慧时欣园二期 3室1厅 西北/东北,11500 元/月,,"官方核验
近地铁
集中供暖
双卫生间"
"大兴-枣园-清源佳园
/
        80.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （18层）",整租·清源佳园 2室1厅 南/北,3800 元/月,,"官方核验
集中供暖
随时看房"
"丰台-玉泉营-彩虹街区
/
        80.00㎡
        /东        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·彩虹街区 2室1厅 东,6000 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
朝阳-百子湾-百子湾家园一区
/
        62.26㎡
        /北        /
          1室1厅1卫        
/
          高楼层                        （21层）",整租·百子湾家园一区 1室1厅 北,6690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-西坝河-西坝河南里
/
        58.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （13层）",整租·西坝河南里 2室1厅 南,7300 元/月,,"官方核验
近地铁
精装
集中供暖"
"石景山-苹果园-金铸阳光苑
/
        60.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （28层）",整租·金铸阳光苑 1室1厅 南,5200 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-望京-夏都盈座
/
        58.43㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （22层）",整租·夏都盈座 1室1厅 西,8090 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-紫金庄园
/
        82.17㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （22层）",整租·紫金庄园 2室1厅 南,10500 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
顺义-顺义其它-炫立方
/
        42.37㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （15层）",整租·炫立方 1室1厅 西,3490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-双桥-双桥温泉东里小区
/
        76.00㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （14层）",整租·双桥温泉东里小区 2室1厅 南,6200 元/月,,"官方核验
精装"
"精选          /
通州-梨园-梨花园
/
        65.00㎡
        /北        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·梨花园 1室1厅 北,4730 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
通州-北关-绿地中央广场
/
        44.50㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （22层）",整租·绿地中央广场 1室1厅 北,5490 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"丰台-玉泉营-新村四里
/
        53.08㎡
        /东 西        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·新村四里 2室1厅 东/西,4600 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"昌平-霍营-华龙苑南里
/
        82.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （6层）",整租·华龙苑南里 3室1厅 南/北,6100 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"朝阳-亚运村小营-中安盛业大厦
/
        85.00㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （24层）",整租·中安盛业大厦 1室1厅 东,8900 元/月,,"官方核验
近地铁
精装
集中供暖"
"西城-长椿街-广义里小区
/
        43.95㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （4层）",整租·广义里小区 2室1厅 南/北,8500 元/月,,"官方核验
集中供暖
随时看房"
"通州-万达-保利大都汇
/
        53.00㎡
        /西北        /
          1室0厅1卫        
/
          中楼层                        （22层）",整租·保利大都汇 1室0厅 西北,5000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
顺义-顺义其它-旭辉26街区
/
        58.72㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （9层）",整租·旭辉26街区 3室2厅 LOFT 南/北,5100 元/月,,"公寓
近地铁
精装
集中供暖
双卫生间"
"海淀-五道口-中关村三才堂
/
        60.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·中关村三才堂 2室1厅 南/北,8000 元/月,,"官方核验
精装
集中供暖"
"精选          /
海淀-二里庄-二里庄小区
/
        47.10㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （18层）",整租·二里庄小区 1室1厅 东,7090 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-百子湾-石门新居35号院
/
        62.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （28层）",整租·石门新居35号院 1室1厅 南,6960 元/月,,"公寓
精装
押一付一
随时看房"
"海淀-五道口-成府路20号院
/
        65.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （7层）",整租·成府路20号院 2室1厅 南/北,7800 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
丰台-马家堡-星河城东区
/
        45.27㎡
        /北        /
          1室1厅1卫        
/
          高楼层                        （18层）",整租·星河城东区 1室1厅 北,6490 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-翡翠四季B区
/
        128.00㎡
        /南 北        /
          4室2厅2卫        
/
          低楼层                        （9层）",整租·翡翠四季B区 4室2厅 南/北,10600 元/月,,"官方核验
精装
集中供暖
双卫生间
随时看房"
"朝阳-石佛营-日月东华
/
        103.90㎡
        /南 东北        /
          3室1厅1卫        
/
          低楼层                        （21层）",整租·日月东华 3室1厅 南/东北,12950 元/月,,"官方核验
精装
集中供暖"
"精选          /
朝阳-双桥-康泉小区
/
        75.94㎡
        /东        /
          2室1厅1卫        
/
          中楼层                        （28层）",整租·康泉小区 2室1厅 东,5890 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-百子湾-燕保百安家园二号院
/
        83.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （29层）",整租·燕保百安家园二号院 2室1厅 南,8090 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"通州-北关-世界侨商中心
/
        43.00㎡
        /北        /
          1室0厅1卫        
/
          中楼层                        （27层）",整租·世界侨商中心 1室0厅 北,4000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"西城-广安门-玺源台
/
        89.66㎡
        /东        /
          2室2厅2卫        
/
          高楼层                        （26层）",整租·玺源台 2室2厅 东,14000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"大兴-大兴其它-颂善园
/
        80.60㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·颂善园 2室1厅 南/北,2600 元/月,,"官方核验
集中供暖"
"通州-通州其它-润枫领尚
/
        88.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·润枫领尚 3室1厅 南/北,5000 元/月,,"官方核验
近地铁
精装
随时看房"
"精选          /
昌平-立水桥-中东路58号院
/
        90.00㎡
        /西南        /
          3室1厅1卫        
/
          中楼层                        （28层）",整租·中东路58号院 3室1厅 西南,5980 元/月,,"公寓
月租
近地铁
精装
集中供暖
随时看房"
"精选          /
海淀-西三旗-悦秀园
/
        75.41㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·悦秀园 2室1厅 南,6560 元/月,,"公寓
精装
集中供暖
随时看房"
"通州-万达-潞河中学北街
/
        100.00㎡
        /东 西        /
          3室1厅1卫        
/
          高楼层                        （6层）",整租·潞河中学北街 3室1厅 东/西,4500 元/月,,"官方核验
集中供暖"
"昌平-回龙观-金域华府一期
/
        63.53㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （28层）",整租·金域华府一期 1室1厅 南,6500 元/月,,"官方核验
精装
集中供暖"
"精选          /
通州-北关-世界侨商中心
/
        42.62㎡
        /西北        /
          1室1厅1卫        
/
          高楼层                        （19层）",整租·世界侨商中心 1室1厅 LOFT 西北,4300 元/月,,"公寓
月租
近地铁
精装
集中供暖"
"丰台-科技园区-广安康润家园东区
/
        90.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （19层）",整租·广安康润家园东区 2室1厅 南/北,5600 元/月,,"官方核验
精装
集中供暖"
"海淀-二里庄-志新村
/
        46.40㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·志新村 1室1厅 东,6200 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"大兴-义和庄-万科天地
/
        57.18㎡
        /东        /
          3室1厅2卫        
/
          中楼层                        （13层）",整租·万科天地 3室1厅 LOFT 东,4500 元/月,,"公寓
月租
近地铁
精装
集中供暖
押一付一
双卫生间
随时看房"
"朝阳-双桥-双桥嘉园
/
        66.25㎡
        /西南        /
          2室1厅1卫        
/
          高楼层                        （23层）",整租·双桥嘉园 2室1厅 西南,4000 元/月,,"官方核验
精装
集中供暖
随时看房"
"海淀-苏州桥-苏州街77号院
/
        53.10㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·苏州街77号院 2室1厅 南/北,8000 元/月,,"官方核验
精装
集中供暖"
"东城-前门-前门东大街
/
        69.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （10层）",整租·前门东大街 3室1厅 南/北,11000 元/月,,"官方核验
业主自荐
近地铁
集中供暖"
"精选          /
海淀-小西天-五月华庭
/
        38.20㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （12层）",整租·五月华庭 1室1厅 北,6130 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"朝阳-朝阳公园-瞰都国际
/
        47.00㎡
        /西北        /
          1室0厅1卫        
/
          中楼层                        （27层）",整租·瞰都国际 1室0厅 西北,7400 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-高碑店-兴隆家园
/
        97.10㎡
        /西南        /
          2室1厅1卫        
/
          中楼层                        （23层）",整租·兴隆家园 2室1厅 西南,8200 元/月,,"官方核验
业主自荐
集中供暖
随时看房"
"精选          /
西城-[木樨地]-白云观
/
        55.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·白云观 2室1厅 南,7960 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-中关村-东南小区
/
        59.70㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·东南小区 2室1厅 南,8900 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
随时看房"
"顺义-后沙峪-中粮祥云国际生活区
/
        176.00㎡
        /南 北        /
          3室2厅2卫        
/
          高楼层                        （14层）",整租·中粮祥云国际生活区 3室2厅 南/北,23000 元/月,,"官方核验
精装
双卫生间"
"丰台-方庄-紫芳园一区
/
        52.38㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （25层）",整租·紫芳园一区 1室1厅 东,5400 元/月,,"官方核验
业主自荐
精装
集中供暖"
"大兴-高米店-郁花园三里
/
        91.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （16层）",整租·郁花园三里 2室1厅 南/北,5600 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-望京-花家地小区
/
        73.93㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·花家地小区 3室1厅 南/北,10000 元/月,,"官方核验
集中供暖"
"朝阳-方庄-10AM新坐标
/
        30.00㎡
        /西        /
          1室0厅1卫        
/
          低楼层                        （29层）",整租·10AM新坐标 1室0厅 西,4800 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"海淀-双榆树-双榆树北里
/
        70.00㎡
        /南 西北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·双榆树北里 3室1厅 南/西北,9500 元/月,,"官方核验
月租
近地铁
集中供暖"
"精选          /
朝阳-西坝河-西坝河东里
/
        43.87㎡
        /西南        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·西坝河东里 1室1厅 西南,6860 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-常营-北京像素北区
/
        56.91㎡
        /西南 东北        /
          3房间2卫        
/
          高楼层                        （14层）",整租·北京像素北区 3房间 复式 西南/东北,12000 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
双卫生间"
"顺义-顺义其它-路劲御和府
/
        82.94㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （11层）",整租·路劲御和府 3室1厅 南/北,4000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"丰台-木樨园-慧时欣园二期
/
        141.00㎡
        /西北 东北        /
          3室1厅2卫        
/
          高楼层                        （24层）",整租·慧时欣园二期 3室1厅 西北/东北,11500 元/月,,"官方核验
近地铁
集中供暖
双卫生间"
"大兴-枣园-清源佳园
/
        80.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （18层）",整租·清源佳园 2室1厅 南/北,3800 元/月,,"官方核验
集中供暖
随时看房"
"丰台-玉泉营-彩虹街区
/
        80.00㎡
        /东        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·彩虹街区 2室1厅 东,6000 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
朝阳-亚运村-慧忠北里第三社区
/
        72.00㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （25层）",整租·慧忠北里第三社区 1室1厅 西,7760 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-西坝河-西坝河南里
/
        58.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （13层）",整租·西坝河南里 2室1厅 南,7300 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
海淀-知春路-罗庄南里
/
        61.40㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·罗庄南里 2室1厅 南,8560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
亦庄开发区-亦庄-博客雅居
/
        59.00㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （24层）",整租·博客雅居 1室1厅 东,5430 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-万寿路-万寿路1号院
/
        37.14㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （5层）",整租·万寿路1号院 1室1厅 南,6190 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"石景山-苹果园-金铸阳光苑
/
        60.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （28层）",整租·金铸阳光苑 1室1厅 南,5200 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-望京-首开知语城
/
        81.79㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （13层）",整租·首开知语城 2室1厅 南,9860 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-紫金庄园
/
        82.17㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （22层）",整租·紫金庄园 2室1厅 南,10500 元/月,,"官方核验
近地铁
精装
集中供暖"
